Company Name,Phone Number,Address,Website,Country
b'Firma Elektro B\xc3\xb6hm',b'+43 664 4710544',"b'Wagnergasse 6, 2170 Poysdorf'",b'www.elektrobabinsky.at',b'Austria'
b'Elektro Buchinger GmbH',b'+43 7682 6275',"b'Marktstrasse 6, 4870, V\xc3\xb6cklamarkt'",b'expert-buchinger.at',b'Austria'
b'Elektro Buder GmbH',b'+43 7246 801880',"b'Edisonstra\xc3\x9fe 5, 4623 Gunskirchen'",b'www.elektro-buder.at',b'Austria'
b'Elektro Dohr GmbH',b'+43 4352 2293',"b'Bahnhofplatz 5, 9400, Wolfsberg'",b'https://www.elektro-dohr.at',b'Austria'
b'Elektro Dollfu\xc3\x9f GmbH',b'+43 7483 7077',"b'Ringstra\xc3\x9fe 3, A-3281 Oberndorf an der Melk'",b'www.elektrodollfuss.at',b'Austria'
b'Elektro Ebner Gesellschaft m.b.H. & Co. KG.',b'+43 7435 52594',"b'Werkstra\xc3\x9fe 26, 4300, St. Valentin'",b'https://www.elektroebner.at',b'Austria'
b'Elektro Enzi Handelsges m.b.H.',b'+43 4235 2292',"b'Br\xc3\xbcndlweg 2, 9150 Bleiburg'",b'www.elektroenzi.at',b'Austria'
b'Elektro EPP GmbH',b'+43 2642 52017',"b'Ufergasse 2, 2870 Aspang'",b'elektro-epp.at',b'Austria'
b'Elektro ESL Gmbh',b'+43 6474 29120',"b'Reg. Haas Platz 1, 5580 Tamsweg'",b'www.esl-elektro.at',b'Austria'
b'Elektro Feichtner',b'+43 7712 2401',"b'Linzer Stra\xc3\x9fe 72, 4780, Sch\xc3\xa4rding'",b'https://elektro-feichtner.at',b'Austria'
b'Elektro Froschauer Gesellschaft mbH & Co KG',b'+43 7479 7264',"b'Markt 53, 3321, Ardagger'",b'expertfroschauer.at',b'Austria'
b'Elektro Gasser GmbH',b'+43 48 22303',"b'Winklern 112, A-9841, Winklern'",b'www.elektro-gasser.at',b'Austria'
b'Elektro G\xc3\xb6bl-Schachinger GmbH',b'+43 664 4529629',"b'Raimundstra\xc3\x9fe 17, 3250, Wieselburg'",b'et-schachinger.at',b'Austria'
b'Elektro Hackl GmbH',b'+43 4762 42073',"b'Ponauer Str. 28, 9800 Spittal an der Drau'",b'www.elektrohackl.at',b'Austria'
b'Elektro Hainz GmbH',b'+43 5282 2578',"b'Talstra\xc3\x9fe 52, 6284, Ramsau im Zillertal'",b'www.elektro-hainz.at',b'Austria'
b'Elektro Hartlieb GmbH',b'+43 4762 5235',"b'Ladinigstra\xc3\x9fe 1, 9800 Spittal a.d. Drau'",b'www.elektro-hartlieb.at',b'Austria'
b'Elektro Helmut Sunk eU',b'+43 676 4970586',"b'Blumau 6/1, 3204 Kirchberg/Pielach'",b'www.elektro-sunk.at',b'Austria'
b'Elektro Hentschel Gesellschaft m.b.H.',b'+43 3622 716730',"b'Altaussee 49, 8992, Altaussee'",b'www.elektro-sunk.at',b'Austria'
b'Elektro Horvath GesmbH',b'+43 2146 2317',"b'Mittlere Hauptstrasse 39, 2425, Nickelsdorf'",b'www.elektrohorvath.at',b'Austria'
b'Elektro Kammerhofer GmbH',b'+43 3858 61110',"b'Grazer-Stra\xc3\x9fe 66, 8662, St. Barbara im M\xc3\xbcrztal'",b'www.ok-kammerhofer.at',b'Austria'
"b'Kammerhofer & Co. Elektrotechnisches Installationsunternehmen, GmbH'",b'+43 7252 891',"b'Zirerstra\xc3\x9fe 7, 4400 Steyr'",b'www.kammerhofer.at',b'Austria'
b'Elektro Karrer GesmbH',b'+43 7224 4318',"b'Linzer Stra\xc3\x9fe 30, 4490 St. Florian'",b'www.karrernet.at',b'Austria'
b'Elektro Kern GmbH',b'+43 7942 72600',"b'Schlag 84, 4264 Gr\xc3\xbcnbach'",b'www.e-kern.at',b'Austria'
b'Elektro Klocker GMBH',b'+43 5334 30720',"b'Dorfstra\xc3\x9fe 66, 6364, Brixen im Thale'",b'https://www.elektro-klocker.at',b'Austria'
b'Elektro Kogler GesmbH',b'+43 4262 2676',"b'Rudolf Sodek-Str. 15, 9321 Kappel am Krappfeld'",b'www.elektro-kogler.at',b'Austria'
b'Elektro K\xc3\xb6lbel KG',b'+43 7444 7251',"b'Hauslehen 109, 3342, Opponitz'",b'www.elektro-koelbel.at',b'Austria'
b'Elektro Korschan e.U.',b'+43 2622 71017',"b'Hauptplatz 4, 2604, Theresienfeld'",b'www.solar-pv.at',b'Austria'
b'Elektro Kropiunik GesmbH',b'+43 4228 3397',"b'Franzendorf 48, 9072, Ludmannsdorf'",b'www.elektro-kropiunik.at',b'Austria'
b'Elektro Lafer GmbH',b'+43 3472 2142',"b'Grazer Strasse 8, A-8480 Mureck'",b'www.elektro-lafer.at',b'Austria'
b'Elektro Landsch\xc3\xbctzer GmbH & Co KG',b'+43 6477 8389',"b'Davidgasse 291, 5582, St. Michael im Lungau'",b'expert-landschuetzer.at',b'Austria'
b'Elektro Lang GmbH & Co KG',b'+43 3455 804420',"b'Hauptplatz 34a , A-8454, Arnfels'",b'www.elektro-lang.at',b'Austria'
b'Elektro Langeder GmbH & Co KG',b'+43 6468 52900',"b'Markt 58, 5450, Werfen'",b'https://www.elektro-langeder.at',b'Austria'
b'Elektro Leitl GmbH',b'+43 7723 42380',"b'H\xc3\xbctterweg 10, 4950 Altheim'",b'www.elektro-leitl.at',b'Austria'
b'Elektro Lichtenwagner GmbH & Co KG',b'+43 7615 7377',"b'Neu-Scharnstein 50, A-4644, Scharnstein'",b'www.elektro-lichtenwagner.at',b'Austria'
b'Elektro Lipp',b'+43 676 7510771',"b'G\xc3\xb6ttweigerstr 475, 3511 Furth bei G\xc3\xb6ttweig'",b'https://www.elektro-lipp.at',b'Austria'
b'Elektro Andreas Maislinger',b'+43 7748 3041',"b'Willersdorf 15, 5143 Feldkirchen'",b'www.elektro-maislinger.at',b'Austria'
b'Elektro Mayerhofer Ges.m.b.h.',b'+43 2253 7971',"b'Hauptstra\xc3\x9fe 12, 2522 Oberwaltersdorf'",b'https://www.ekm1.at',b'Austria'
b'Elektro Meier Hubert',b'+43 6641 449803',"b'Holzleiten 11, 5112 Lamprechtshausen'",b'www.elektro-meier-hubert.at',b'Austria'
b'Elektro M\xc3\xb6rth GmbH',b'+43 2953 2326',"b'Kammersdorf 105, 2033 Kammersdorf'",b'www.elektro-moerth.at',b'Austria'
b'Energietechnik Nauschnegg GmbH',b'+43 3466 43054',"b'Eibiswald 126, 8552 Eibiswald, Steiermark'",b'www.nauschnegg.at',b'Austria'
b'Elektro Neub\xc3\xb6ck Ges.m.b.H. & Co. KG',b'+43 7719 86100',"b'Dorfgasse 1, 4775, Taufkirchen Pram'",b'www.neuboeck.at',b'Austria'
b'Elektro Neuhuber GmbH',b'+43 7682 4094',"b'Hauptstra\xc3\x9fe 7, A-4872, Neukirchen an der V\xc3\xb6ckla'",b'www.elektro-neuhuber.at',b'Austria'
b'Elektro Neunegger GmbH',b'+43 4762 2314',"b'Gewerbezeile 7, 9800, Spittal an der Drau'",b'www.elektro-neuhuber.at',b'Austria'
b'Elektro Oberreiter GmbH & Co. KG',b'+43 7945 7686',"b'Markt 28, A-4271, St. Oswald bei Freistadt'",b'www.elektro-oberreiter.at',b'Austria'
b'Elektro Ortner GmbH',b'+43 4852 68660',"b'Albin Egger-Str. 26, 9900, Lienz'",b'elektro-ortner.at',b'Austria'
b'Elektro Pointner',b'+43 699 18000097',"b'Aum\xc3\xbchlstra\xc3\x9fe 13, A-4050, Traun'",b'www.elektro-pointner.at',b'Austria'
b'Elektro P\xc3\xbchringer GmbH',b'+43 7269 7575',"b'Eichpichl 5, 4341 Arbing'",b'www.ep-puehringer.at',b'Austria'
b'Elektro Rapold GmbH',b'+43 2674 87373',"b'Weissenbacher Stra\xc3\x9fe 22, 2564, Weissenbach an der Triesting'",b'https://www.elektro-rapold.at',b'Austria'
b'Elektro Rauch e.U.',b'+43 2854 6370',"b'Kirchberg am Walde 29, 3932 Kirchberg am Walde, \xc3\x96sterreich'",b'www.elektro-rauch.at',b'Austria'
b'Elektro Rauhofer GmbH & Co. KG',b'+43 1616 72810',"b'Wagner-Sch\xc3\xb6nkirch-Gasse 19, A-1230, Wien'",b'www.rauhofer.at',b'Austria'
b'Elektro Rechberger GmbH',b'+43 3336 4383',"b'Arzberg 116, 8253 Waldbach'",b'www.elektro-rechberger.at',b'Austria'
b'Elektro Reiter',b'+43 662 823461',"b'Nonntaler Hauptstrasse 84, 5020, Salzburg'",b'www.elektroservicepartner-reiter.at',b'Austria'
b'Elektro Rutter GmbH',b'+43 4232 2242',"b'Strandbadweg 2, 9100, V\xc3\xb6lkermarkt'",b'elektro-rutter.at',b'Austria'
b'Elektro Schober GmbH',b'+43 2955 71188',"b'Ruppersthal 71, 3701, Ruppersthal'",b'www.elektro-schober.at',b'Austria'
b'Elektro Schwaiger GmbH',b'+43 6584 7806',"b'Am Kirchplatz 5, 5761, Maria Alm am Steinernen Meer'",b'elektroschwaiger.at',b'Austria'
b'Elektro Spreitzer GmbH',b'+43 7475 52327',"b'Graben 24, A-3363, Ulmerfeld'",b'www.elektro-spreitzer.at',b'Austria'
b'Elektro Stadler GmbH',b'+43 5339 8912',"b'Tegelanger, Auffach 337, 6313 Wildsch\xc3\xb6nau'",b'www.elektro-stadler.at',b'Austria'
b'Elektro Stecher',b'+43 5574 53565',"b'Alberlochstra\xc3\x9fe 7, 6911 Lochau'",b'www.elektro-stadler.at',b'Austria'
b'Elektro Technik Plangger GmbH',b'+43 5476 6060',"b'Fisserstra\xc3\x9fe 1, 6533, Fiss'",b'www.elektro-plangger.at',b'Austria'
b'Elektro Tisch GmbH',b'+43 42463959',"b'Millst\xc3\xa4tter Stra\xc3\x9fe 82, 9544 Feld am See'",b'elektrogeraete-haushaltsgeraete-shop.at',b'Austria'
b'Elektro Volk Ges.m.b.H',b'+43 2732 71165',"b'Kremstalstra\xc3\x9fe 53, 3500, Krems'",b'www.volk.at',b'Austria'
b'Elektro Wenger GmbH',b'+43 6245 809660',"b'Adnet 221, 5421, Adnet, Salzburg'",b'www.elektro-wenger.at',b'Austria'
b'Elektro Widlroither Installations- und Handels G.m.b.H',b'+43 6232 2266',"b'Hickmanngasse 1, 5310, Mondsee'",b'elektro-widlroither.at',b'Austria'
b'Elektro Wiesinger GmbH',b'+43 7260 21044',"b'Dimbach 58, A-4371, Dimbach'",b'www.elektro-wiesinger.at',b'Austria'
b'Elektro Winter',b'+43 676 3714020',"b'Els 66, 3613, Albrechtsberg'",b'www.elektro-winter.at',b'Austria'
b'Elektro Wirth GmbH',b'+43 2688 72512',"b'Wiener Neust\xc3\xa4dter Stra\xc3\x9fe 2, 7035, Steinbrunn'",b'www.elektro-wirth.at',b'Austria'
b'Elektro-Kollaczia GmbH',b'+43 5332 81737',"b'Perlmooserstr 12, 6322 Kirchbichl'",b'www.elektro-wirth.at',b'Austria'
b'Elektro-Meisterbetrieb - Bernhard Herzog e.U.',b'+43 2252 78808',"b'Flugfeldstra\xc3\x9fe 62 / 1, 2540 Bad V\xc3\xb6slau'",b'www.elektro-wirth.at',b'Austria'
b'Elektro.con Elektromontagen- und Anlagentechnik GmbH',b'+43 2263 81150',"b'Hauptstra\xc3\x9fe 74, 2124, Niederkreuzstetten'",b'https://www.elektro-con.at',b'Austria'
b'Elektrojet Kuterer GmbH',b'+43 3175 30588',"b'Pettauer Stra\xc3\x9fe 2, 8184, Anger'",b'https://www.elektro-con.at',b'Austria'
b'Elektrotechnik Andreas Strasser',b'+43 5223 55564',"b'Gewerbepark 5, 6068 Mils'",b'https://www.elektro-con.at',b'Austria'
b'Elektrotechnik Harald Tantscher',b'+43 3151 30596',"b'Obergnas 59, 8342 Gnas'",b'https://www.elektrotechnik-tantscher.at',b'Austria'
b'Elektrotechnik Krenmayr Ges.m.b.H.',b'+43 2646 2226',"b'Wiener Stra\xc3\x9fe 23, 2860 Kirchschlag'",b'www.krenmayr.co.at',b'Austria'
b'Elektrotechnik Moser',b'+43 676 3123340',"b'Stockerfeld 405, 5571 Mariapfarr'",b'https://www.elektrotechnik-moser.at',b'Austria'
